id,UF,"date","created_at","updated_at"
1,25629.09,"2016-01-01","2019-01-08 04:29:36","2019-01-08 04:29:36"
2,25629.09,"2016-01-02","2019-01-08 04:29:36","2019-01-08 04:29:36"
3,25629.09,"2016-01-03","2019-01-08 04:29:36","2019-01-08 04:29:36"
4,25629.09,"2016-01-04","2019-01-08 04:29:37","2019-01-08 04:29:37"
5,25629.09,"2016-01-05","2019-01-08 04:29:37","2019-01-08 04:29:37"
6,25629.09,"2016-01-06","2019-01-08 04:29:37","2019-01-08 04:29:37"
7,25629.09,"2016-01-07","2019-01-08 04:29:38","2019-01-08 04:29:38"
8,25629.09,"2016-01-08","2019-01-08 04:29:38","2019-01-08 04:29:38"
9,25629.09,"2016-01-09","2019-01-08 04:29:38","2019-01-08 04:29:38"
10,25629.09,"2016-01-10","2019-01-08 04:29:38","2019-01-08 04:29:38"
11,25629.09,"2016-01-11","2019-01-08 04:29:39","2019-01-08 04:29:39"
12,25629.09,"2016-01-12","2019-01-08 04:29:39","2019-01-08 04:29:39"
13,25629.09,"2016-01-13","2019-01-08 04:29:39","2019-01-08 04:29:39"
14,25629.09,"2016-01-14","2019-01-08 04:29:40","2019-01-08 04:29:40"
15,25629.09,"2016-01-15","2019-01-08 04:29:40","2019-01-08 04:29:40"
16,25629.09,"2016-01-16","2019-01-08 04:29:40","2019-01-08 04:29:40"
17,25629.09,"2016-01-17","2019-01-08 04:29:41","2019-01-08 04:29:41"
18,25629.09,"2016-01-18","2019-01-08 04:29:41","2019-01-08 04:29:41"
19,25629.09,"2016-01-19","2019-01-08 04:29:41","2019-01-08 04:29:41"
20,25629.09,"2016-01-20","2019-01-08 04:29:41","2019-01-08 04:29:41"
21,25629.09,"2016-01-21","2019-01-08 04:29:42","2019-01-08 04:29:42"
22,25629.09,"2016-01-22","2019-01-08 04:29:42","2019-01-08 04:29:42"
23,25629.09,"2016-01-23","2019-01-08 04:29:42","2019-01-08 04:29:42"
24,25629.09,"2016-01-24","2019-01-08 04:29:43","2019-01-08 04:29:43"
25,25629.09,"2016-01-25","2019-01-08 04:29:43","2019-01-08 04:29:43"
26,25629.09,"2016-01-26","2019-01-08 04:29:43","2019-01-08 04:29:43"
27,25629.09,"2016-01-27","2019-01-08 04:29:44","2019-01-08 04:29:44"
28,25629.09,"2016-01-28","2019-01-08 04:29:44","2019-01-08 04:29:44"
29,25629.09,"2016-01-29","2019-01-08 04:29:44","2019-01-08 04:29:44"
30,25629.09,"2016-01-30","2019-01-08 04:29:45","2019-01-08 04:29:45"
31,25629.09,"2016-01-31","2019-01-08 04:29:45","2019-01-08 04:29:45"
32,25629.09,"2016-02-01","2019-01-08 04:29:45","2019-01-08 04:29:45"
